What is a primary limitation of TF-IDF when representing the meaning of a sentence?,It relies on word frequencies and ignores the underlying contextual meaning of words.
"In the context of clustering, what does 'permutation-invariant' mean?",The metric's value remains the same regardless of the specific integer labels assigned to the clusters.
How many documents were included in the BBC News dataset used for the clustering demonstration?,$2225$ documents.
What is the advantage of using pre-trained models for generating embeddings in specific domains?,They already contain substantial general language knowledge from being trained on millions of texts.
"In the customer support ticket example, how many distinct classes were being predicted?",Five classes.
Term: Feature Engineering with LLMs,Definition: The process of using LLM embeddings as numerically rich input features for downstream machine learning models.
What does 'semantic intent' refer to in the analysis of customer support tickets?,The underlying meaning or purpose of the ticket beyond the literal words used.
The high dimensionality of $384$ vectors can make density-based clustering difficult; this phenomenon is known as the _____.,Curse of dimensionality.
Which Python library provides the implementation for the `LabelEncoder` used to process ground-truth categories?,The `sklearn.preprocessing` module.
What is the role of the `random_state` parameter in algorithms like PCA and K-Means?,It ensures that the results are reproducible by fixing the seed for random operations.
"If the embedding matrix has a shape of $(2225, 384)$, what does the number $2225$ represent?",The total number of documents in the collection.
"In a classification report, what does the 'Support' column represent?",The actual number of occurrences of each class in the specified dataset.
What does a weighted F1-score of $0.80$ imply in a multi-class problem?,"It indicates the model has achieved a strong balance between precision and recall across classes, adjusted for class size."
How can one confirm the effectiveness of an LLM-based feature engineering approach beyond a proof of concept?,"By applying the technique to a larger, more robust dataset and tuning the classifier's hyperparameters."
"Which visualization library was configured using `sns.set_style(""whitegrid"")` in the provided guide?",Seaborn.
"In the document clustering tutorial, what determined the value of `n_clusters=5` for the K-Means algorithm?",Prior knowledge of the five ground-truth topic categories in the BBC News dataset.
What is the purpose of the `n_init` parameter in the `KMeans` class?,It specifies the number of times the algorithm will run with different initial centroid seeds to find the best result.
"In the classification example, what percentage of the data was reserved for the test set?",$20\%$.
What is the main benefit of using `SentenceTransformer` over standard word-level embeddings for intent recognition?,It produces a single vector that captures the meaning of the entire sequence or document.
What is the result of applying `model.get_sentence_embedding_dimension()` to `all-MiniLM-L6-v2`?,The integer value $384$.
Why is achieving high accuracy on a five-class problem with a very small dataset considered challenging?,Small datasets often lack enough examples for models to learn complex patterns without overfitting or missing class nuances.
"In the DBSCAN implementation, what is the default behavior when `metric='cosine'` is used?",The algorithm measures similarity based on the angle between vectors rather than Euclidean distance.
Which specific Scikit-learn metric is used to evaluate clustering when the ground-truth labels are unknown?,The Silhouette Score.
Formula: F1-Score,"The harmonic mean of Precision and Recall, calculated as $2 \times \frac{\text{Precision} \times \text{Recall}}{\text{Precision} + \text{Recall}}$."
What is the primary goal of document clustering in an unsupervised setting?,To identify common topics or groups among unclassified documents based on similarity.
"When combining embeddings with structured data, what is the resulting feature vector called?",An engineered or combined feature vector.
"In the provided visualization code, what do 'PC1' and 'PC2' stand for on the plot axes?",Principal Component 1 and Principal Component 2.
What is the purpose of using `plt.colorbar()` in the clustering visualization plots?,To provide a visual reference for the mapping of cluster labels to colors.
Which function is used to load the BBC News dataset from a URL in the tutorial?,`pd.read_csv()`.
"In the Random Forest code, what does the `stratify=labels` argument prevent?",It prevents the total exclusion of any of the five classes from the training or test sets.
